No.,年月日,目撃年月日,時間,目撃市町村,場所,天候,目撃時のクマ,目撃時の目撃者の行動,目撃した環境,その後の対応,人身被害の有無,推定年齢,目撃頭数,注意事項,緯度,経度
1,2026/4/2,2026年4月2日.,14:00,身延町,寺沢地内,晴れ,沢にいた。避難したためその後は不明,近隣住民,集落付近,防災無線による注意喚起、警察によるパトロール、追い払い花火、ドローンによる周辺確認,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4703681,138.4374339
2,2026/4/6,2026年4月6日.,8:00,甲府市,右左口町,晴れ,甲府市右左口町地内、甲府市側トンネル出口付近の国道上で目撃、その後は谷に逃げ込たのち不明,通行人（車）,山間部の道路,パトロール実施,無し,不明,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.55675,138.59069
3,2026/4/11,2026年4月11日.,16:25,早川町,大原野,晴れ,新倉トンネル下流側法面を登っていった,町内業者,山間部,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4645,138.33895
4,2026/4/12,2026年4月12日.,8:15,早川町,大原野,晴れ,新倉トンネル下流側法面にとどまっていた,住民,山間部,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4645,138.33895
5,2026/4/12,2026年4月12日.,16:20,早川町,大原野,晴れ,新倉トンネル下流側法面を登っていった,住民,山間部,防災無線による注意喚起、パトロール実施,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4645,138.33895
6,2026/4/13,2026年4月13日.,7:40,早川町,大原野,晴れ,新倉トンネル下流側法面にとどまっていた,住民,山間部,防災無線による注意喚起、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.4645,138.33895
7,2026/4/13,2026年4月13日.,12:00,都留市,大野地内,曇り,目撃者から300～400程の距離でクマを目撃、御正体山へ向けて歩いて行った,林業従事者,山中,市HPにて注意喚起、警察・猟友会・市とで情報共有,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.507094,138.928482
8,2026/4/14,2026年4月14日.,13:00,身延町,遅沢地内,晴れ,山へ逃げて行った,近隣住民,集落付近,防災無線による注意喚起,無し,コドモ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.439387,138.415445
9,2026/4/14,2026年4月14日.,13:20,上野原市,上野原地内,晴れ,山から下ってきたが、目撃者を発見すると山へ逃げていった,近隣住民,山間部の公道,防災無線等による注意喚起、周辺パトロール,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.63172,139.10536
10,2026/4/18,2026年4月18日.,15:00,富士河口湖町,河口地内,晴れ,不明,ドライバー,山林中の国道,警察へ通報、パトロール実施,無し,オトナ,1,次の緯度・経度は、目撃地点の大まかな付近を表示した目安です。idはデータ処理上の数字です。,35.54351,138.769983
